file,chi2,convergence,niter,neval,regPen,prior,regul,mu,gamma,tau,wavemin,wavemax,spectral_feature
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-compactness_mu-0.0_gamma-1.0_fov-44_pixSc-0.7.fits,8.103444105317,True,4612,4995,0.0,Dirac,compactness,0.0,1.0,,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-compactness_mu-0.0_gamma-50.5_fov-44_pixSc-0.7.fits,8.103444105317,True,4612,4995,0.0,Dirac,compactness,0.0,50.5,,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-compactness_mu-0.0_gamma-100.0_fov-44_pixSc-0.7.fits,8.103444105317,True,4612,4995,0.0,Dirac,compactness,0.0,100.0,,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-compactness_mu-1.0_gamma-1.0_fov-44_pixSc-0.7.fits,8.103444105936,True,3481,3793,1.230563340805,Dirac,compactness,1.0,1.0,,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-compactness_mu-1.0_gamma-50.5_fov-44_pixSc-0.7.fits,8.103444106113,True,4012,4325,0.1132449002121,Dirac,compactness,1.0,50.5,,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-compactness_mu-1.0_gamma-100.0_fov-44_pixSc-0.7.fits,8.10344410443,True,4106,4473,0.1129328338704,Dirac,compactness,1.0,100.0,,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-compactness_mu-316.22776601683796_gamma-1.0_fov-44_pixSc-0.7.fits,8.103482090655,True,2958,3216,1.214071397803,Dirac,compactness,316.22776601683796,1.0,,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-compactness_mu-316.22776601683796_gamma-50.5_fov-44_pixSc-0.7.fits,8.103444489088,True,3430,3708,0.1130839627828,Dirac,compactness,316.22776601683796,50.5,,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-compactness_mu-316.22776601683796_gamma-100.0_fov-44_pixSc-0.7.fits,8.103444525736,True,4270,4644,0.1127503718991,Dirac,compactness,316.22776601683796,100.0,,2.1,2.29,continuum
/home/rtc/Documents/rtpav/image_reco/GRAVITY_K/MIRA_prior-Dirac_continuum-wave-2.1-2.29um-reg-compactness_fov44_pixSc0.7/imageReco_GRAVITY_K_prior-Dirac_wave-2.1-2.29_regul-compactness_mu-100000.0_gamma-1.0_fov-44_pixSc-0.7.fits,8.255610021272,True,3426,3720,0.4334605232702,Dirac,compactness,100000.0,1.0,,2.1,2.29,continuum
