file,chi2,convergence,niter,neval,regPen,prior,regul,mu,gamma,tau,wavemin,wavemax
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-compactness_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-compactness_mu-1.0_gamma-1.0_fov-352_pixSc-2.8.fits,0.394987958296,True,853,917,23.14480074481,Dirac,compactness,1,1,,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-compactness_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-compactness_mu-1.0_gamma-50.5_fov-352_pixSc-2.8.fits,0.3822069513326,True,539,586,0.3950782201247,Dirac,compactness,1,50.5,,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-compactness_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-compactness_mu-1.0_gamma-100.0_fov-352_pixSc-2.8.fits,0.380896031462,True,912,992,0.3521474440971,Dirac,compactness,1,100,,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-0.0_tau-1e-06_fov-352_pixSc-2.8.fits,0.3810062542703,True,687,747,0,Dirac,hyperbolic,0,,1E-06,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-0.0_tau-0.0001_fov-352_pixSc-2.8.fits,0.3810062542703,True,687,747,0,Dirac,hyperbolic,0,,0.0001,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-0.0_tau-0.01_fov-352_pixSc-2.8.fits,0.3810062542703,True,687,747,0,Dirac,hyperbolic,0,,0.01,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-0.0_tau-1.0_fov-352_pixSc-2.8.fits,0.3810062542703,True,687,747,0,Dirac,hyperbolic,0,,1,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-1.0_tau-1e-06_fov-352_pixSc-2.8.fits,0.3810304955147,True,874,932,3.314343438895,Dirac,hyperbolic,1,,1E-06,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-1.0_tau-0.0001_fov-352_pixSc-2.8.fits,0.3810303936265,True,1077,1178,3.288838484847,Dirac,hyperbolic,1,,0.0001,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-1.0_tau-0.01_fov-352_pixSc-2.8.fits,0.3810286588214,True,998,1092,2.615619753205,Dirac,hyperbolic,1,,0.01,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-1.0_tau-1.0_fov-352_pixSc-2.8.fits,0.3810075872973,True,792,900,0.537744952253,Dirac,hyperbolic,1,,1,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-17.78279410038923_tau-1e-06_fov-352_pixSc-2.8.fits,0.3852116842141,True,2300,2386,2.764364612666,Dirac,hyperbolic,17.7827941003892,,1E-06,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-17.78279410038923_tau-0.0001_fov-352_pixSc-2.8.fits,0.3852535941812,True,1263,1363,2.731470599029,Dirac,hyperbolic,17.7827941003892,,0.0001,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-17.78279410038923_tau-0.01_fov-352_pixSc-2.8.fits,0.3842577509622,True,1231,1319,2.183876614348,Dirac,hyperbolic,17.7827941003892,,0.01,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-17.78279410038923_tau-1.0_fov-352_pixSc-2.8.fits,0.3827219508734,True,1691,1935,0.3683661671379,Dirac,hyperbolic,17.7827941003892,,1,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-316.22776601683796_tau-1e-06_fov-352_pixSc-2.8.fits,0.4564454230132,True,1321,1369,1.873311836872,Dirac,hyperbolic,316.227766016838,,1E-06,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-316.22776601683796_tau-0.0001_fov-352_pixSc-2.8.fits,0.4607937098421,True,367,410,1.805974104023,Dirac,hyperbolic,316.227766016838,,0.0001,8,8.5
/home/rtc/Documents/rtpav/image_reco/MATISSE_N/MIRA_prior-Dirac_wave-8.0-8.5um-reg-hyperbolic_fov352_pixSc2.8/imageReco_MATISSE_N_prior-Dirac_wave-8.0-8.5_regul-hyperbolic_mu-316.22776601683796_tau-0.01_fov-352_pixSc-2.8.fits,0.4344735297893,True,174,252,1.48813201245,Dirac,hyperbolic,316.227766016838,,0.01,8,8.5
