file,chi2,convergence,niter,neval,regPen,prior,regul,mu,gamma,tau,wavemin,wavemax
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-Dirac_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-Dirac_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-1.0_fov-35_pixSc-0.6.fits,2.206411103972,False,4703,5000,0.0,Dirac,compactness,0.0,1.0,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-Dirac_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-Dirac_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-17.5_fov-35_pixSc-0.6.fits,2.206411103972,False,4703,5000,0.0,Dirac,compactness,0.0,17.5,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-Dirac_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-Dirac_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-34.0_fov-35_pixSc-0.6.fits,2.206411103972,False,4703,5000,0.0,Dirac,compactness,0.0,34.0,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-Dirac_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-Dirac_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-50.5_fov-35_pixSc-0.6.fits,2.206411103972,False,4703,5000,0.0,Dirac,compactness,0.0,50.5,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-Dirac_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-Dirac_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-67.0_fov-35_pixSc-0.6.fits,2.206411103972,False,4703,5000,0.0,Dirac,compactness,0.0,67.0,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-Dirac_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-Dirac_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-83.5_fov-35_pixSc-0.6.fits,2.206411103972,False,4703,5000,0.0,Dirac,compactness,0.0,83.5,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-Dirac_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-Dirac_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-100.0_fov-35_pixSc-0.6.fits,2.206411103972,False,4703,5000,0.0,Dirac,compactness,0.0,100.0,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-Dirac_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-Dirac_wave-1.4-1.7999999999999998_regul-compactness_mu-1.0_gamma-1.0_fov-35_pixSc-0.6.fits,2.202888948168,False,4694,5000,0.4598694655428,Dirac,compactness,1.0,1.0,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-Dirac_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-Dirac_wave-1.4-1.7999999999999998_regul-compactness_mu-1.0_gamma-17.5_fov-35_pixSc-0.6.fits,2.207164594996,False,4741,5000,0.06613389238267,Dirac,compactness,1.0,17.5,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-Dirac_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-Dirac_wave-1.4-1.7999999999999998_regul-compactness_mu-1.0_gamma-34.0_fov-35_pixSc-0.6.fits,2.202676467815,False,4699,5000,0.06118022850199,Dirac,compactness,1.0,34.0,,1.4,1.7999999999999998
