file,chi2,convergence,niter,neval,regPen,prior,regul,mu,gamma,tau,wavemin,wavemax
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-random_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-random_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-1.0_fov-35_pixSc-0.6.fits,695.0234048494,True,190,397,0.0,random,compactness,0.0,1.0,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-random_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-random_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-17.5_fov-35_pixSc-0.6.fits,695.0234048494,True,190,397,0.0,random,compactness,0.0,17.5,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-random_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-random_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-34.0_fov-35_pixSc-0.6.fits,695.0234048494,True,190,397,0.0,random,compactness,0.0,34.0,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-random_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-random_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-50.5_fov-35_pixSc-0.6.fits,695.0234048494,True,190,397,0.0,random,compactness,0.0,50.5,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-random_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-random_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-67.0_fov-35_pixSc-0.6.fits,695.0234048494,True,190,397,0.0,random,compactness,0.0,67.0,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-random_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-random_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-83.5_fov-35_pixSc-0.6.fits,695.0234048494,True,190,397,0.0,random,compactness,0.0,83.5,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-random_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-random_wave-1.4-1.7999999999999998_regul-compactness_mu-0.0_gamma-100.0_fov-35_pixSc-0.6.fits,695.0234048494,True,190,397,0.0,random,compactness,0.0,100.0,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-random_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-random_wave-1.4-1.7999999999999998_regul-compactness_mu-1.0_gamma-1.0_fov-35_pixSc-0.6.fits,726.4359210863,True,67,306,0.5438101219092,random,compactness,1.0,1.0,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-random_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-random_wave-1.4-1.7999999999999998_regul-compactness_mu-1.0_gamma-17.5_fov-35_pixSc-0.6.fits,929.0764543966,True,3,23,0.001407993906584,random,compactness,1.0,17.5,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-random_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-random_wave-1.4-1.7999999999999998_regul-compactness_mu-1.0_gamma-34.0_fov-35_pixSc-0.6.fits,795.9574733999,True,4,26,0.001367012452341,random,compactness,1.0,34.0,,1.4,1.7999999999999998
/home/rtc/Documents/rtpav/image_reco/PIONIER_H/MIRA_prior-random_wave-1.4-1.7999999999999998um-reg-compactness_fov35_pixSc0.6/imageReco_PIONIER_H_prior-random_wave-1.4-1.7999999999999998_regul-compactness_mu-1.0_gamma-50.5_fov-35_pixSc-0.6.fits,745.8295582403,True,320,677,0.001645929844064,random,compactness,1.0,50.5,,1.4,1.7999999999999998
