wvl_list,ud_mean,ud_err,ud_redchi2
1.5163161606324138e-06,3.271160004940968,[0.0008285 0.0008606],99.60663656365942
1.5664535339965369e-06,3.2588252468520924,[0.00066334 0.00061213],80.33024607073689
1.6187730125238886e-06,3.2801808159880457,[0.0007479  0.00071985],41.09804171970077
1.6695007616363e-06,3.3138957357379035,[0.00067243 0.00069637],10.737295790954889
1.7191039205499692e-06,3.3001972172036886,[0.00087287 0.00087407],47.08636979993262
1.7608845155336894e-06,3.313092575772895,[0.00080987 0.00080873],34.34275034129803
1.97000008483883e-06,3.608287327159931,[0.00572741 0.00559377],10.079439032422442
1.9832145881082397e-06,3.611243363796837,[0.00195029 0.00194667],72.35204497613003
1.9964290913776495e-06,3.5727119307361273,[0.00156673 0.00151462],68.5589535956745
2.0096435946470592e-06,3.6510045739565213,[0.00292392 0.00311528],24.463592265876226
2.022858097916469e-06,3.678703209190858,[0.00252883 0.00269681],62.73870664234205
2.0360726011858787e-06,3.6638858624670507,[0.00156316 0.0015339 ],65.5710943130034
2.0492871044552885e-06,3.695257194174911,[0.00312324 0.00316176],29.94792553086579
2.0625016077246983e-06,3.5600755449874293,[0.00268015 0.00269705],16.01917876726919
2.075716110994108e-06,3.5885428541938205,[0.00216429 0.00213974],34.814173731342805
2.0889306142635178e-06,3.5273219205897592,[0.00136317 0.00133919],50.71761405786239
2.1021451175329275e-06,3.5442304772140045,[0.00140194 0.0014802 ],50.3873471972303
2.1153596208023373e-06,3.524576439519686,[0.0014172  0.00149094],57.040638552661875
2.128574124071747e-06,3.515239695461049,[0.00134429 0.00128519],46.81240811810345
2.141788627341157e-06,3.4880993787609182,[0.00141682 0.00148626],35.416884581022096
2.1550031306105666e-06,3.45807812480706,[0.00168475 0.0016074 ],26.70297901212675
2.1682176338799763e-06,3.4726830015151777,[0.00130538 0.00136975],49.88739196207302
2.181432137149386e-06,3.459247160412669,[0.00152597 0.00148465],19.040984443301408
2.194646640418796e-06,3.4890502936947096,[0.00155513 0.00154167],35.582248456911024
2.2078611436882056e-06,3.446301484282154,[0.00191642 0.00187727],13.951564052409386
